storage_time,drying_type,insect,sample,treatment,parameter,rep,value,detection_limit
0,oven,mw,leeb,oven_leeb,anaer.bsc,2,1.1,1
1,oven,mw,control,oven,anaer.bsc,1,1,1
1,oven,mw,control,oven,anaer.bsc,2,1,1
1,oven,mw,control,oven,anaer.bsc,3,1,1
1,oven,mw,leeb,oven_leeb,anaer.bsc,1,1,1
1,oven,mw,leeb,oven_leeb,anaer.bsc,2,1,1
1,oven,mw,leeb,oven_leeb,anaer.bsc,3,1,1
2,oven,mw,control,oven,anaer.bsc,1,2.94,1
2,oven,mw,control,oven,anaer.bsc,2,2.56,1
2,oven,mw,control,oven,anaer.bsc,3,2.52,1
2,oven,mw,leeb,oven_leeb,anaer.bsc,1,1,1
2,oven,mw,leeb,oven_leeb,anaer.bsc,2,1,1
2,oven,mw,leeb,oven_leeb,anaer.bsc,3,1,1
3,oven,mw,control,oven,anaer.bsc,1,3.04,1
3,oven,mw,control,oven,anaer.bsc,2,2.67,1
3,oven,mw,control,oven,anaer.bsc,3,2.04,1
3,oven,mw,leeb,oven_leeb,anaer.bsc,1,1,1
3,oven,mw,leeb,oven_leeb,anaer.bsc,2,1,1
3,oven,mw,leeb,oven_leeb,anaer.bsc,3,1,1
4,oven,mw,control,oven,anaer.bsc,1,3.44,1
4,oven,mw,control,oven,anaer.bsc,2,2.6,1
4,oven,mw,control,oven,anaer.bsc,3,1.79,1
4,oven,mw,leeb,oven_leeb,anaer.bsc,1,1.59,1
4,oven,mw,leeb,oven_leeb,anaer.bsc,2,1.84,1
4,oven,mw,leeb,oven_leeb,anaer.bsc,3,1.73,1
5,oven,mw,control,oven,anaer.bsc,1,3.03,1
5,oven,mw,control,oven,anaer.bsc,2,2.64,1
5,oven,mw,control,oven,anaer.bsc,3,2.16,1
5,oven,mw,leeb,oven_leeb,anaer.bsc,1,1.46,1
5,oven,mw,leeb,oven_leeb,anaer.bsc,2,1.46,1
5,oven,mw,leeb,oven_leeb,anaer.bsc,3,1.26,1
6,oven,mw,control,oven,anaer.bsc,1,2.27,1
6,oven,mw,control,oven,anaer.bsc,2,1.84,1
6,oven,mw,control,oven,anaer.bsc,3,1.36,1
6,oven,mw,leeb,oven_leeb,anaer.bsc,1,2.75,1
6,oven,mw,leeb,oven_leeb,anaer.bsc,2,1,1
6,oven,mw,leeb,oven_leeb,anaer.bsc,3,2.19,1
0,oven,bsfl,control,oven,anaer.bsc,1,1.56,1
0,oven,bsfl,control,oven,anaer.bsc,2,2.06,1
0,oven,bsfl,control,oven,anaer.bsc,3,1.15,1
0,oven,bsfl,leeb,oven_leeb,anaer.bsc,1,1,1
0,oven,bsfl,leeb,oven_leeb,anaer.bsc,2,1,1
0,oven,bsfl,leeb,oven_leeb,anaer.bsc,3,1,1
1,oven,bsfl,control,oven,anaer.bsc,1,2.17,1
1,oven,bsfl,control,oven,anaer.bsc,2,1.6,1
1,oven,bsfl,control,oven,anaer.bsc,3,1.6,1
1,oven,bsfl,leeb,oven_leeb,anaer.bsc,1,1,1
1,oven,bsfl,leeb,oven_leeb,anaer.bsc,2,1,1
1,oven,bsfl,leeb,oven_leeb,anaer.bsc,3,1,1
3,oven,bsfl,control,oven,anaer.bsc,1,1.63,1
3,oven,bsfl,control,oven,anaer.bsc,2,1.67,1
3,oven,bsfl,control,oven,anaer.bsc,3,2.18,1
3,oven,bsfl,leeb,oven_leeb,anaer.bsc,1,1,1
3,oven,bsfl,leeb,oven_leeb,anaer.bsc,2,1,1
3,oven,bsfl,leeb,oven_leeb,anaer.bsc,3,1,1
4,oven,bsfl,control,oven,anaer.bsc,1,3.1,1
4,oven,bsfl,control,oven,anaer.bsc,2,3.14,1
4,oven,bsfl,control,oven,anaer.bsc,3,3.56,1
4,oven,bsfl,leeb,oven_leeb,anaer.bsc,1,1,1
4,oven,bsfl,leeb,oven_leeb,anaer.bsc,2,1.63,1
4,oven,bsfl,leeb,oven_leeb,anaer.bsc,3,1,1
5,oven,bsfl,control,oven,anaer.bsc,1,2.1,1
5,oven,bsfl,control,oven,anaer.bsc,2,1.95,1
5,oven,bsfl,control,oven,anaer.bsc,3,3.45,1
5,oven,bsfl,leeb,oven_leeb,anaer.bsc,1,1,1
5,oven,bsfl,leeb,oven_leeb,anaer.bsc,2,1,1
5,oven,bsfl,leeb,oven_leeb,anaer.bsc,3,1,1
6,oven,bsfl,control,oven,anaer.bsc,1,1,1
6,oven,bsfl,control,oven,anaer.bsc,2,1,1
6,oven,bsfl,control,oven,anaer.bsc,3,1,1
6,oven,bsfl,leeb,oven_leeb,anaer.bsc,1,1,1
6,oven,bsfl,leeb,oven_leeb,anaer.bsc,2,1,1
6,oven,bsfl,leeb,oven_leeb,anaer.bsc,3,1,1
0,oven,mw,control,oven,ym,1,1.95,1.95
0,oven,mw,control,oven,ym,2,1.95,1.95
0,oven,mw,control,oven,ym,3,1.95,1.95
0,oven,mw,leeb,oven_leeb,ym,1,1.95,1.95
0,oven,mw,leeb,oven_leeb,ym,2,1.95,1.95
0,oven,mw,leeb,oven_leeb,ym,3,1.95,1.95
1,oven,mw,control,oven,ym,1,1.95,1.95
1,oven,mw,control,oven,ym,2,1.95,1.95
1,oven,mw,control,oven,ym,3,1.95,1.95
1,oven,mw,leeb,oven_leeb,ym,1,1.95,1.95
1,oven,mw,leeb,oven_leeb,ym,2,1.95,1.95
1,oven,mw,leeb,oven_leeb,ym,3,1.95,1.95
2,oven,mw,control,oven,ym,1,5.38,1.95
2,oven,mw,control,oven,ym,2,4.93,1.95
2,oven,mw,control,oven,ym,3,4.93,1.95
2,oven,mw,leeb,oven_leeb,ym,1,2.15,1.95
2,oven,mw,leeb,oven_leeb,ym,2,2.25,1.95
2,oven,mw,leeb,oven_leeb,ym,3,2.25,1.95
3,oven,mw,control,oven,ym,1,4.13,1.95
3,oven,mw,control,oven,ym,2,4.13,1.95
3,oven,mw,control,oven,ym,3,3.5,1.95
3,oven,mw,leeb,oven_leeb,ym,1,2.61,1.95
3,oven,mw,leeb,oven_leeb,ym,2,2.19,1.95
3,oven,mw,leeb,oven_leeb,ym,3,2.87,1.95
4,oven,mw,control,oven,ym,1,3.95,1.95
4,oven,mw,control,oven,ym,2,4.02,1.95
4,oven,mw,control,oven,ym,3,3.98,1.95
4,oven,mw,leeb,oven_leeb,ym,1,2.19,1.95
4,oven,mw,leeb,oven_leeb,ym,2,2.31,1.95
4,oven,mw,leeb,oven_leeb,ym,3,2.84,1.95
5,oven,mw,control,oven,ym,1,3.97,1.95
5,oven,mw,control,oven,ym,2,3.01,1.95
5,oven,mw,control,oven,ym,3,2.77,1.95
5,oven,mw,leeb,oven_leeb,ym,1,1.95,1.95
5,oven,mw,leeb,oven_leeb,ym,2,1.95,1.95
5,oven,mw,leeb,oven_leeb,ym,3,1.95,1.95
6,oven,mw,control,oven,ym,1,4.34,1.95
6,oven,mw,control,oven,ym,2,4.22,1.95
6,oven,mw,control,oven,ym,3,3.9,1.95
6,oven,mw,leeb,oven_leeb,ym,1,1.95,1.95
6,oven,mw,leeb,oven_leeb,ym,2,2.21,1.95
6,oven,mw,leeb,oven_leeb,ym,3,2.21,1.95
0,oven,bsfl,control,oven,ym,1,1.95,1.95
0,oven,bsfl,control,oven,ym,2,1.95,1.95
0,oven,bsfl,control,oven,ym,3,1.95,1.95
0,oven,bsfl,leeb,oven_leeb,ym,1,1.95,1.95
0,oven,bsfl,leeb,oven_leeb,ym,2,1.95,1.95
0,oven,bsfl,leeb,oven_leeb,ym,3,1.95,1.95
1,oven,bsfl,control,oven,ym,1,1.95,1.95
1,oven,bsfl,control,oven,ym,2,1.95,1.95
1,oven,bsfl,control,oven,ym,3,1.95,1.95
1,oven,bsfl,leeb,oven_leeb,ym,1,1.95,1.95
1,oven,bsfl,leeb,oven_leeb,ym,2,1.95,1.95
1,oven,bsfl,leeb,oven_leeb,ym,3,1.95,1.95
3,oven,bsfl,control,oven,ym,1,1.95,1.95
3,oven,bsfl,control,oven,ym,2,1.95,1.95
3,oven,bsfl,control,oven,ym,3,1.95,1.95
3,oven,bsfl,leeb,oven_leeb,ym,1,1.95,1.95
3,oven,bsfl,leeb,oven_leeb,ym,2,1.95,1.95
3,oven,bsfl,leeb,oven_leeb,ym,3,1.95,1.95
4,oven,bsfl,control,oven,ym,1,1.95,1.95
4,oven,bsfl,control,oven,ym,2,1.95,1.95
4,oven,bsfl,control,oven,ym,3,1.95,1.95
4,oven,bsfl,leeb,oven_leeb,ym,1,1.95,1.95
4,oven,bsfl,leeb,oven_leeb,ym,2,1.95,1.95
4,oven,bsfl,leeb,oven_leeb,ym,3,1.95,1.95
5,oven,bsfl,control,oven,ym,1,2.653,1.95
5,oven,bsfl,control,oven,ym,2,2.69,1.95
5,oven,bsfl,control,oven,ym,3,2.76,1.95
5,oven,bsfl,leeb,oven_leeb,ym,1,1.95,1.95
5,oven,bsfl,leeb,oven_leeb,ym,2,1.95,1.95
5,oven,bsfl,leeb,oven_leeb,ym,3,1.95,1.95
6,oven,bsfl,control,oven,ym,1,2.21,1.95
6,oven,bsfl,control,oven,ym,2,1.95,1.95
6,oven,bsfl,control,oven,ym,3,2.41,1.95
6,oven,bsfl,leeb,oven_leeb,ym,1,1.95,1.95
6,oven,bsfl,leeb,oven_leeb,ym,2,1.95,1.95
6,oven,bsfl,leeb,oven_leeb,ym,3,1.95,1.95
0,micro,mw,control,micro,tvc,1,,1.95
0,micro,mw,control,micro,tvc,2,,1.95
0,micro,mw,leeb,micro_leeb,tvc,1,,1.95
0,micro,mw,leeb,micro_leeb,tvc,2,,1.95
0,micro,mw,control,micro,bsc,1,,1.95
0,micro,mw,control,micro,bsc,2,,1.95
0,micro,mw,leeb,micro_leeb,bsc,1,,1.95
0,micro,mw,leeb,micro_leeb,bsc,2,,1.95
0,micro,mw,control,micro,anaer.tvc,1,3.14,1
0,micro,mw,control,micro,anaer.tvc,2,2.46,1
0,micro,mw,leeb,micro_leeb,anaer.tvc,1,1,1
0,micro,mw,leeb,micro_leeb,anaer.tvc,2,1,1
0,micro,mw,control,micro,anaer.bsc,1,1,1
0,micro,mw,control,micro,anaer.bsc,2,1,1
0,micro,mw,leeb,micro_leeb,anaer.bsc,1,1,1
0,micro,mw,leeb,micro_leeb,anaer.bsc,2,1,1
0,micro,bsfl,control,micro,tvc,1,5.11,1.95
0,micro,bsfl,control,micro,tvc,2,5.96,1.95
0,micro,bsfl,leeb,micro_leeb,tvc,1,3.52,1.95
0,micro,bsfl,leeb,micro_leeb,tvc,2,3.59,1.95
0,micro,bsfl,control,micro,bsc,1,1,1.95
0,micro,bsfl,control,micro,bsc,2,1,1.95
0,micro,bsfl,leeb,micro_leeb,bsc,1,1,1.95
